,user_name,lang,user_location,user_description,user_verified,date,text,hashtags,source
0,foggy’s legal assistant,en,sam she/they/he,"#SAMWILSON: heres the thing. just you and i outnumber this bad cap fifty to one, mostly because i’m now counting myself as forty-nine caps.",False,2022-04-23 23:59:59,@codydjarin me too,,Twitter for iPhone
1,J Edward NastyOne34,en,"Detroit, MI",I like dogs more than people.  They are God’s greatest creation.  I also enjoy seeing people getting what they deserve.  You will probably see some sports too.,False,2022-04-23 23:59:59,Poor thing https://t.co/2WlqFnoAEi,,Twitter for iPhone
2,vriska bot,en,,posts canon vriska quotes once every half hour. she also has automated replies. no epilogues or hs2 quotes bc i dont want to. brought to you by cyan @e8luhs,False,2022-04-23 23:59:59,(VRISKA): Don't go! At least not right away!,,"Cheap Bots, Done Quick!"
3,Selindrilis,en,,"An iksar dating an amazing licholf @Zin_Stone
Genderfluid She/her please, DBD streamer
https://t.co/bo1XKTv67w",False,2022-04-23 23:59:59,"@FTFDesert @lynxtaurreturns @CritFacts @MForstater @luminatus1 Hell one of the biggest excuses that women who rape men use, ""Well he got hard and enjoyed it right?""",,Twitter Web App
4,Kyle,en,,name’s Kyle. I’m a 15 year old Irish boy who loves movies and television. can be a bit stupid and rude but has a good heart. Zim and Meg are my favs. follow me,False,2022-04-23 23:59:59,"@sbarra_anthony Discord: Twilight, sooner or later you’re gonna have to tell Dag that you’re pregnant. You’re gonna end up having the baby before you even tell him and be like *mockingly does her voice* Daggie this is is your new sibling, sorry for not having you prepared https://t.co/an2eEBBJR7",,Twitter for iPhone
5,Paul Staller,en,"Hillsborough, NC",Retired DOE Sec. Spec. | Army vet 13B5P5H |  Married 20+ years. | Sober and Grateful | Dog Dad to Two | CERT Responder (Still Serving),False,2022-04-23 23:59:59,"@SgtRando I'll go get my walker, now.  Thanks for reminding me how old  I am.",,Twitter for Android
6,Stank Says C’s in 4 ☘️,en,South Carolina,SIR STANK: Jesus 🙏🏿 #BlackLivesMatter #BleedGreen #FlyEaglesFly #TogetherRoyal LeBron the 🐐PSN: HisStankness,False,2022-04-23 23:59:59,@jwilla6 Right! I’m a little perplexed about it but oh…I’d love for us to take this game!,,Twitter for iPhone
7,Wanda Maximoff. ᱬ,en,#ruination,“I don't need you to tell me who I am.”,False,2022-04-23 23:59:59,@iamVision13 Not really. He's gone. But it is the same for me.,,Twitter for Android
8,pan3d,en,,NFTs are stinky,False,2022-04-23 23:59:59,"Not concept art what do we think ???

#nft #crypto https://t.co/lwwTYP4Gkv","['nft', 'crypto']",Twitter for iPad
9,M,en,Hogwarts,"MBA. whiny friend of Rey and Co, Survivor #JusticeForJohnnyDepp #FreePalestine",False,2022-04-23 23:59:59,@AchakpoM Thank you 💕,,Twitter for iPhone
10,Win atuh,en,Indonesia,"ART Addict | NFT lovers
vrp21#8882

#ConcreteCrew",False,2022-04-23 23:59:59,@DaJenus @Imaginarium_SOL Done uraaaa https://t.co/XyTOVj6b3w,,Twitter for Android
11,ウェウェコヨトル,en,,この垢は【@_RMHI】の提供でお送りします,False,2022-04-23 23:59:59,"＠null Another hour! It's April 24, 2022 at 08:59AM",,IFTTT
12,🎈🎈🌺Conk (Birthday Tomorrow)🌺🎈🎈,en,A bag of mints,"I draw the Plant Queen from Generation 5
I'm 16, BTW",False,2022-04-23 23:59:59,"@Touyarokii can I suggest actual pokemon, or just the characters",,Twitter Web App
13,Laura,en,🇮🇪,27. She/Her. #YNWA #BlackLivesMatter #StopAsianHate,False,2022-04-23 23:59:59,Coachella had Harry Styles being iconic af last weekend and this weekend Dylan O'Brien is just walking around with his shirt open and I'm so jealous.,,Twitter Web App
14,MalditaTanDulce,en,,Love is the only thing with real value. Death is all that is promised. Be kind and protect your energy.,False,2022-04-23 23:59:59,"@KiaraStellar May I ask what goddess, Im a Scorpio moon and I love working with  Persephone and Bast",,Twitter for iPhone
15,"The Tiger, Tag! 🔜 FWA",en,"Austin, TX",World Ranked Cuddler 🥰 He/Him … 28 … Bi … InfoSec … mostly SFW :3 Fursuit Maker: @TBarkCreations,False,2022-04-23 23:59:59,This tiny human wanted all the hugs at #Sherwood today. My heart 🥺 #Furry #FurryFandom #Fursuiter #Fursuit #PublicFursuiting #RenFest https://t.co/2mZZUIrJfF,"['Sherwood', 'Furry', 'FurryFandom', 'Fursuiter', 'Fursuit']",Twitter for iPhone
16,Robᵉʳᵗ Graham,en,.,"Created:[BlackICE,IPS,sidejacking,masscan].   Doing:[blog,code,cyber-rights,Internet-scanning].   Unethical coder.",False,2022-04-23 23:59:59,"I keep seeing this statement in my feed.
It's bad risk assessment, and worse ethics.

It's a like a doctor saying ""I don't want to hear your cries of terror over you lung cancer because I told you not to smoke"" -- but also tinged with politics. https://t.co/hALvcl5BJX",,Twitter Web App
17,sissil,en,17 🇨🇳,@chrsifps 🤍 | diamond shitter @PlayVALORANT,False,2022-04-23 23:59:59,@luvjxckie pretty girl,,Twitter for iPhone
18,touché,en,Universe,"“I die without seeing dawn's light shining on my country..You, who will see it, welcome it for me..don't forget those who fell during the nighttime.”-José Rizal",False,2022-04-23 23:59:59,@mongramosjr Wow the effort.,,Twitter for iPhone
19,ؘ,en,,farts on yunsan ( she/her 18 ),False,2022-04-23 23:59:59,they posted for me &lt;3 https://t.co/9JCcCVKSLD,,Twitter for iPhone
20,Jack,en,Pain town ,Part time West Ham enjoyer,False,2022-04-23 23:59:59,@DubMerchantPriv @whujoepriv Mf you nabbed the format,,Twitter for iPhone
21,ice bear ☆,en,"she/they/fleur, blk",ceo of pipravi,False,2022-04-23 23:59:59,literally ned and stiles harrasing peter would be so funny like LISTEN,,Twitter for iPhone
22,Chris Roberts,en,"Missouri,USA",king of male Emison shippers. X-men CU fan. #Olicity #Barchie #RipSnyderverse  #RIPXMencu #screwTheBatmanTheFlash,False,2022-04-23 23:59:59,@slowburnsftw true that is symbol of how incompatible varchie are.,,Twitter Web App
23,e-ProMann Strauss,en,"Pleasanton, California","#49ers and #SJSharks fan.
Blocked by the SJ Sharks in 195 countries.:-))
I speak facts according to @SJSharksBRA.",False,2022-04-23 23:59:59,"LET'S GOOOO!

CONGRATS TO LORD REIMER!! #SJSHARKS https://t.co/QZVEa4sIv6",['SJSHARKS'],Twitter Web App
24,ArsenicSZN,en,,@a1esportsggs_,False,2022-04-23 23:59:59,@tripleszn Down,,Twitter for iPhone
25,TT,en,,Don’t mind me. I just be sayin shit.,False,2022-04-23 23:59:59,I never have plans but always on my way to somewhere,,Twitter for iPhone
26,North Western Railway,en,Jaipur,Judged as No.1 Zone on Indian Railways in CLEANLINESS SURVEY-2019 for the second consecutive year,True,2022-04-23 23:59:59,@NareshMudgal15 @narendramodi @GMNWRailway @RpfNwr @RailwaySeva to look into,,Twitter for Android
27,Koert Morris,en,,Owensboro Catholic QB Coach #GoAces,False,2022-04-23 23:59:59,@JacobGr01525036 @BaxleyRJR *Knick,,Twitter for iPhone
28,Horus The Elder ⋈🔺א∅ 🪶,en,Web3 ,"Speculator/Moderator/Analyst
https://t.co/FP8m1Ot5dl
https://t.co/JsqxKUp9Ib",False,2022-04-23 23:59:59,@PrimeAww Bro I feel like I'm old. The average age for Crypto investors is like 23 lol,,Twitter for Android
29,GurmeetJudge,en,"Vaughan, Ontario","Helping business executives increase their profit margins by aligning technology with business objectives.
- IT Process & Strategy",False,2022-04-23 23:59:59,"Planning to scale up your organization, focus on IT Soft cost. It will allow you to scale much faster  #encompassbt #ITConsulting #ITStrategy #ITProcess #ITServices #Revenue #Risks #leadership",['encompassbt'],HubSpot
30,Temple of Gloom,en,"Reno, NV",Behavior Analysis. Star Wars obsession. Sports.,False,2022-04-23 23:59:59,"Not having Brodie Brazil on the Sharks telecast makes me so fucking happy.

No Kurz, no chimp fuck. I’ll take a losing season as a sacrifice. 

#SJSharks",,Twitter for iPhone
31,Elizabeth Stockwell,en,"Syracuse, NY",She/Her.  Under secretary of the Antifa division of Crochet products.,False,2022-04-23 23:59:59,"@pitcher_steve @seanherrala @WonderKing82 Oh no, the Republicans love you. https://t.co/2cIzYC2EdO",,Twitter Web App
32,Kyle 👾,en,"Manhattan, NY",19 @utahjazz #takenote @Ravens #RavensFlock @Nationals $KyleJ224 _(._.)_ #BlackLivesMatter He/Him,False,2022-04-23 23:59:59,@ZoKnowsBall you got a vid of it? I stopped watching after the Luka shot 💀,,Twitter for iPhone
33,Lalyn Anderson,en,"Rosemount, MN",,False,2022-04-23 23:59:59,@nfldraftscout Troy Williamson,,Twitter for Android
34,KirklandWeather.com,en,"Kirkland, Washington","Real-time weather updates every 30 minutes from Kirkland, Washington, a suburb of Seattle.",False,2022-04-23 23:59:59,"5:00 PM: 59.5°F, Humidity: 52 percent, Barometer: 30.266 in., Low: 44.0°F at 4:00 AM, High: 59.9°F at 4:38 PM, Rain today: 0.00 in., Sunrise: 6:02 am, Sunset: 8:10 pm",,Weather Display Tweet
35,Sredni Eel🐲,en,Living in a Split Level Head,"#DavidBowie I do art & costume things. I'm a Firey. 80s new wave, monsters, animals, writing ""The Unweaver"". I go rar. Owned by MeatCat™  #Werewolves #resist",False,2022-04-23 23:59:59,@PaintYourDragon The only sorta reliable cats seen/petted ratio that's worked so far is Santana's street in Niles.,,Twitter Web App
